kind,first_text,first_strings,context,occurrences,bCs,bold,cs_bold,eastAsia,font,font_size,hint_cs,style,szCs
heading_title,,,,0,False,,,False,Monotype Hadassah,381000,False,s02,60
subject_light,,,,0,False,,,False,,,False,s14,False
subject_normal,,,,0,False,True,True,False,,139700,True,DefaultParagraphFont,22
definition_normal,,,,0,False,,,False,,,True,DefaultParagraphFont,False
subject_light,,,,0,False,,True,False,Miriam,,False,DefaultParagraphFont,18
definition_light,,,,0,False,,,False,Miriam,101600,False,DefaultParagraphFont,16
source_light,,,,0,False,,,False,Miriam,,False,DefaultParagraphFont,14
definition_light,,,,0,False,,,False,Miriam,101600,True,DefaultParagraphFont,16
sub-subject_light,,,,0,False,,True,False,Miriam,101600,False,DefaultParagraphFont,16
definition_light,,,,0,False,,,False,,88900,False,s04,16
subject_small,,,,0,False,True,True,False,,,True,s02,False
sub-subject_small,,,,0,False,True,True,False,,,True,s03,False
subject_normal,,,,0,False,,True,False,,,False,DefaultParagraphFont,22
definition_normal,,,,0,False,True,,False,,114300,False,DefaultParagraphFont,False
subject_normal,,,,0,False,,,False,,,False,s01,False
sub-subject_normal,,,,0,False,,,False,,,False,s11,False
subject_light,,,,0,False,,,False,,114300,True,s16,False
definition_light,,,,0,False,True,,False,,101600,True,s16,16
source_light,,,,0,False,True,,False,,88900,True,s16,14
definition_normal,,,,0,False,,,False,,,False,DefaultParagraphFont,False
subject_small,,,,0,False,,True,False,,114300,True,DefaultParagraphFont,False
definition_small,,,,0,False,True,,False,,101600,True,DefaultParagraphFont,18
source_small,,,,0,False,True,,False,,88900,True,DefaultParagraphFont,16
definition_normal,,,,0,False,,,False,,152400,False,DefaultParagraphFont,False
source_normal,,,,0,False,,,False,,152400,False,DefaultParagraphFont,18
subject_small,,,,0,False,,,False,,,False,s1510,False
definition_small,,,,0,False,,,False,,,False,s05,False
definition_light,,,,0,False,,,False,,,False,s12,False
source_light,,,,0,False,,,False,,88900,False,s12,14
definition_normal,,,,0,0,True,False,False,,,False,s11,False
subject_small,,,,0,False,True,,False,,,False,s1510,False
source_small,,,,0,False,,,False,,,True,s038,False
sub-subject_normal,,,,0,False,,,False,,,False,s17,False
heading_section,,,,0,0,True,False,False,,330200,True,s01,52
